number,sieve,other_method
10000,0.0009772777557373047,0.003908634185791016
20000,0.000978231430053711,0.0068399906158447266
30000,0.002931356430053711,0.017588376998901367
40000,0.002931356430053711,0.022474050521850586
50000,0.0039081573486328125,0.030291318893432617
60000,0.004885673522949219,0.040062665939331055
70000,0.004885435104370117,0.046460866928100586
80000,0.005862712860107422,0.05471968650817871
90000,0.00781702995300293,0.06742286682128906
100000,0.009771585464477539,0.07523965835571289
