Odd number,Number of partitions
9,1
11,1
13,2
15,2
17,3
19,3
21,4
23,4
25,5
27,6
29,7
31,6
33,8
35,7
37,9
39,10
41,10
43,10
45,11
47,12
49,12
51,14
53,16
55,14
57,16
59,16
61,16
63,18
65,20
67,20
69,20
71,21
73,21
75,21
77,27
79,24
81,25
83,28
85,27
87,28
89,33
91,29
93,32
95,35
97,34
99,30
101,37
103,36
105,34
107,42
109,38
111,36
113,46
115,42
117,42
119,50
121,46
123,47
125,53
127,50
129,45
131,56
133,54
135,46
137,62
139,53
141,48
143,64
145,59
147,55
149,68
151,61
153,59
155,68
157,68
159,58
161,76
163,73
165,60
167,77
169,69
171,64
173,89
175,75
177,68
179,86
181,80
183,74
185,91
187,90
189,74
191,95
193,91
195,72
197,101
199,93
201,81
203,106
205,95
207,85
209,110
211,100
213,95
215,115
217,111
219,88
221,122
223,115
225,90
227,124
229,114
231,93
233,129
235,111
237,101
239,132
241,124
243,108
245,133
247,134
249,108
251,142
253,137
255,107
257,154
259,136
261,110
263,154
265,139
267,119
269,157
271,149
273,126
275,157
277,160
279,122
281,170
283,166
285,128
287,175
289,161
291,134
293,186
295,159
297,142
299,187
301,171
303,146
305,190
307,187
309,143
311,197
313,190
315,145
317,209
319,187
321,150
323,210
325,186
327,161
329,207
331,197
333,167
335,212
337,207
339,161
341,233
343,216
345,162
347,237
349,211
351,169
353,243
355,210
357,179
359,240
361,225
363,181
365,238
367,239
369,183
371,253
373,241
375,181
377,266
379,231
381,195
383,277
385,234
387,199
389,269
391,255
393,208
395,271
397,270
399,200
401,286
403,273
405,196
407,294
409,270
411,215
413,299
415,260
417,222
419,297
421,278
423,230
425,303
427,298
429,220
431,318
433,305
435,218
437,335
439,299
441,229
443,335
445,290
447,244
449,330
451,318
453,257
455,321
457,328
459,247
461,351
463,334
465,249
467,368
469,330
471,259
473,373
475,330
477,267
479,377
481,352
483,274
485,362
487,367
489,269
491,387
493,380
495,267
497,394
499,362
501,283
503,407
505,357
507,293
509,412
511,374
513,310
515,400
517,402
519,293
521,430
523,410
525,290
527,439
529,399
531,309
533,442
535,395
537,319
539,434
541,412
543,332
545,433
547,426
549,326
551,466
553,437
555,313
557,476
559,428
561,327
563,484
565,423
567,336
569,483
571,443
573,354
575,462
577,466
579,346
581,488
583,472
585,337
587,505
589,462
591,359
593,522
595,442
597,365
599,515
601,478
603,376
605,504
607,501
609,363
611,536
613,508
615,359
617,546
619,510
621,386
623,546
625,486
627,396
629,557
631,514
633,417
635,549
637,531
639,393
641,583
643,546
645,385
647,596
649,542
651,405
653,604
655,523
657,425
659,597
661,565
663,439
665,573
667,585
669,426
671,616
673,589
675,418
677,645
679,572
681,442
683,650
685,561
687,455
689,651
691,605
693,459
695,623
697,628
699,454
701,667
703,644
705,443
707,674
709,623
711,468
713,692
715,585
717,500
719,694
721,631
723,497
725,669
727,664
729,479
731,712
733,683
735,460
737,726
739,662
741,496
743,739
745,640
747,515
749,718
751,678
753,526
755,705
757,702
759,523
761,758
763,706
765,503
767,768
769,701
771,522
773,797
775,682
777,546
779,777
781,714
783,558
785,745
787,762
789,547
791,777
793,758
795,524
797,810
799,742
801,566
803,832
805,705
807,574
809,821
811,772
813,577
815,788
817,801
819,564
821,845
823,801
825,545
827,847
829,795
831,588
833,854
835,762
837,601
839,863
841,810
843,632
845,840
847,825
849,605
851,889
853,858
855,584
857,909
859,842
861,618
863,917
865,796
867,626
869,911
871,865
873,657
875,856
877,893
879,638
881,932
883,891
885,626
887,967
889,864
891,650
893,971
895,860
897,666
899,974
901,917
903,675
905,924
907,930
909,660
911,988
913,945
915,646
917,988
919,923
921,689
923,1006
925,890
927,715
929,1034
931,941
933,715
935,959
937,988
939,700
941,1046
943,1002
945,668
947,1054
949,956
951,716
953,1060
955,946
957,737
959,1033
961,998
963,755
965,1012
967,1029
969,744
971,1096
973,1017
975,700
977,1105
979,1009
981,757
983,1112
985,976
987,755
989,1109
991,1036
993,790
995,1055
997,1095
999,769
